Designator,Mid X,Mid Y,Rotation,Layer
C1,12.446,-15.494,0.0,top
C2,12.446,-12.954,0.0,top
C3,20.066,-44.196,0.0,top
C5,10.442,-51.054,0.0,top
D2,18.666,-46.228,180.0,top
D3,1.27,-51.946,90.0,top
D4,9.144,-47.9275,90.0,top
J2,17.033,-53.345,90.0,top
Q1,6.096,-53.34,180.0,top
Q2,10.0815,-53.406,180.0,top
R1,22.608,-26.162,180.0,top
R10,3.048,-54.102,270.0,top
R2,22.608,-28.702,180.0,top
R3,2.286,-22.606,0.0,top
R4,2.284,-24.892,0.0,top
R5,2.54,-19.814,90.0,top
R6,2.284,-32.766,0.0,top
R7,20.066,-42.672,0.0,top
R8,12.446,-45.722,90.0,top
R9,3.554,-50.546,0.0,top
SW1,3.81,-46.482,0.0,top
U1,12.446,-25.165999999999997,90.0,top
U2,12.534,-33.846968,90.0,bottom
