sensor_name;frequency;duty_cycle;measurement;stabilization_time;success
NPPN;100;1;331;500;0
NPPN;100;2;355;500;0
NPPN;100;3;365;500;0
NPPN;100;5;400;500;0
NPPN;100;8;425;500;0
NPPN;100;13;459;500;0
NPPN;100;21;503;500;0
NPPN;100;34;548;500;0
NPPN;100;55;622;500;0
NPPN;100;89;746;500;0
NPPN;100;128;963;500;0
NPPN;100;255;1618;500;0
NPPN;200;1;381;500;0
NPPN;200;2;640;500;0
NPPN;200;3;667;500;0
NPPN;200;5;727;500;0
NPPN;200;8;779;500;0
NPPN;200;13;824;500;0
NPPN;200;21;876;500;0
NPPN;200;34;938;500;0
NPPN;200;55;1024;500;0
NPPN;200;89;1140;500;0
NPPN;200;128;1325;500;0
NPPN;200;255;1910;500;0
NPPN;400;1;514;500;0
NPPN;400;2;851;500;0
NPPN;400;3;999;500;0
NPPN;400;5;1132;500;0
NPPN;400;8;1210;500;0
NPPN;400;13;1277;500;0
NPPN;400;21;1339;500;0
NPPN;400;34;1424;500;0
NPPN;400;55;1500;500;0
NPPN;400;89;1628;500;0
NPPN;400;128;1721;500;0
NPPN;400;255;2272;500;0
NPPN;800;1;614;500;0
NPPN;800;2;1025;500;0
NPPN;800;3;1131;500;0
NPPN;800;5;1438;500;0
NPPN;800;8;1493;500;0
NPPN;800;13;1645;500;0
NPPN;800;21;1711;500;0
NPPN;800;34;1782;500;0
NPPN;800;55;1865;500;0
NPPN;800;89;1969;500;0
NPPN;800;128;2067;500;0
NPPN;800;255;2508;500;0
NPPN;1600;1;1132;500;0
NPPN;1600;2;1429;500;0
NPPN;1600;3;1516;500;0
NPPN;1600;5;1783;500;0
NPPN;1600;8;1815;500;0
NPPN;1600;13;1978;500;0
NPPN;1600;21;2034;500;0
NPPN;1600;34;2103;500;0
NPPN;1600;55;2232;500;0
NPPN;1600;89;2495;500;0
NPPN;1600;128;2605;500;0
NPPN;1600;255;3316;500;0
NPPN;3200;1;1264;500;0
NPPN;3200;2;1575;500;0
NPPN;3200;3;1640;500;0
NPPN;3200;5;1823;500;0
NPPN;3200;8;1936;500;0
NPPN;3200;13;2052;500;0
NPPN;3200;21;2136;500;0
NPPN;3200;34;2227;500;0
NPPN;3200;55;2327;500;0
NPPN;3200;89;2561;500;0
NPPN;3200;128;2644;500;0
NPPN;3200;255;3307;500;0
NPPN;6400;1;1285;500;0
NPPN;6400;2;1603;500;0
NPPN;6400;3;1679;406;1
NPPN;6400;5;1862;500;0
NPPN;6400;8;1974;500;0
NPPN;6400;13;2098;500;0
NPPN;6400;21;2190;500;0
NPPN;6400;34;2273;500;0
NPPN;6400;55;2362;500;0
NPPN;6400;89;2592;500;0
NPPN;6400;128;2732;500;0
NPPN;6400;255;3302;500;0
NPPN;12800;1;2119;500;0
NPPN;12800;2;2075;500;0
NPPN;12800;3;2079;500;0
NPPN;12800;5;2224;180;1
NPPN;12800;8;2291;496;1
NPPN;12800;13;2370;500;0
NPPN;12800;21;2558;500;0
NPPN;12800;34;2808;500;0
NPPN;12800;55;3207;500;0
NPPN;12800;89;3759;500;0
NPPN;12800;128;4081;134;1
NPPN;12800;255;4095;44;1
NPPN;25600;1;2108;500;0
NPPN;25600;2;2092;360;1
NPPN;25600;3;2087;500;0
NPPN;25600;5;2236;135;1
NPPN;25600;8;2301;135;1
NPPN;25600;13;2404;500;0
NPPN;25600;21;2573;500;0
NPPN;25600;34;2763;500;0
NPPN;25600;55;3196;500;0
NPPN;25600;89;3678;500;0
NPPN;25600;128;4061;268;1
NPPN;25600;255;4095;45;1
NPPN;51200;1;2123;500;0
NPPN;51200;2;2082;500;0
NPPN;51200;3;2098;500;0
NPPN;51200;5;2244;90;1
NPPN;51200;8;2302;270;1
NPPN;51200;13;2385;500;0
NPPN;51200;21;2491;500;0
NPPN;51200;34;2708;500;0
NPPN;51200;55;3003;500;0
NPPN;51200;89;3647;500;0
NPPN;51200;128;4094;356;1
NPPN;51200;255;4095;44;1
NPPN;100000;1;2366;270;1
NPPN;100000;2;2353;500;0
NPPN;100000;3;2353;500;0
NPPN;100000;5;2454;500;0
NPPN;100000;8;2579;500;0
NPPN;100000;13;2729;500;0
NPPN;100000;21;3243;500;0
NPPN;100000;34;2215;500;0
NPPN;100000;55;3672;500;0
NPPN;100000;89;3989;500;0
NPPN;100000;128;4095;45;1
NPPN;100000;255;4095;45;1
NPPN;200000;1;2382;180;1
NPPN;200000;2;2346;90;1
NPPN;200000;3;2341;500;0
NPPN;200000;5;2501;500;0
NPPN;200000;8;2623;500;0
NPPN;200000;13;2786;500;0
NPPN;200000;21;3254;500;0
NPPN;200000;34;2343;500;0
NPPN;200000;55;3726;500;0
NPPN;200000;89;4095;223;1
NPPN;200000;128;4095;45;1
NPPN;200000;255;4095;45;1
NPPN;400000;1;2442;90;1
NPPN;400000;2;2278;270;1
NPPN;400000;3;2347;500;0
NPPN;400000;5;2498;500;0
NPPN;400000;8;2568;500;0
NPPN;400000;13;3194;500;0
NPPN;400000;21;3686;500;0
NPPN;400000;34;2354;500;0
NPPN;400000;55;3681;500;0
NPPN;400000;89;4026;500;0
NPPN;400000;128;4095;45;1
NPPN;400000;255;4095;45;1
NPPN;800000;1;2226;90;1
NPPN;800000;2;2566;500;0
NPPN;800000;3;2309;500;0
NPPN;800000;5;2505;500;0
NPPN;800000;8;2651;500;0
NPPN;800000;13;2891;500;0
NPPN;800000;21;3566;500;0
NPPN;800000;34;2431;500;0
NPPN;800000;55;3567;500;0
NPPN;800000;89;4025;500;0
NPPN;800000;128;4095;45;1
NPPN;800000;255;4095;45;1
NPPN;1600000;1;2670;500;0
NPPN;1600000;2;2218;500;0
NPPN;1600000;3;3010;500;0
NPPN;1600000;5;3464;500;0
NPPN;1600000;8;4095;45;1
NPPN;1600000;13;3562;500;0
NPPN;1600000;21;4087;500;0
NPPN;1600000;34;4095;45;1
NPPN;1600000;55;4095;45;1
NPPN;1600000;89;4095;45;1
NPPN;1600000;128;4095;45;1
NPPN;1600000;255;4095;45;1
NPPN;3200000;1;2522;500;0
NPPN;3200000;2;3014;500;0
NPPN;3200000;3;2876;500;0
NPPN;3200000;5;3555;500;0
NPPN;3200000;8;4095;45;1
NPPN;3200000;13;3654;500;0
NPPN;3200000;21;4095;44;1
NPPN;3200000;34;4095;45;1
NPPN;3200000;55;4095;45;1
NPPN;3200000;89;4095;45;1
NPPN;3200000;128;4095;45;1
NPPN;3200000;255;4095;45;1
NPPN;6400000;1;1734;500;0
NPPN;6400000;2;2949;500;0
NPPN;6400000;3;3136;500;0
NPPN;6400000;5;3699;500;0
NPPN;6400000;8;4095;44;1
NPPN;6400000;13;3616;500;0
NPPN;6400000;21;4095;44;1
NPPN;6400000;34;4095;45;1
NPPN;6400000;55;4095;45;1
NPPN;6400000;89;4095;45;1
NPPN;6400000;128;4095;45;1
NPPN;6400000;255;4095;45;1
PNNP;100;1;244;500;0
PNNP;100;2;287;500;0
PNNP;100;3;304;500;0
PNNP;100;5;321;500;0
PNNP;100;8;341;500;0
PNNP;100;13;358;500;0
PNNP;100;21;391;500;0
PNNP;100;34;425;500;0
PNNP;100;55;469;500;0
PNNP;100;89;584;500;0
PNNP;100;128;808;500;0
PNNP;100;255;1449;500;0
PNNP;200;1;356;500;0
PNNP;200;2;511;500;0
PNNP;200;3;559;500;0
PNNP;200;5;590;500;0
PNNP;200;8;627;500;0
PNNP;200;13;653;500;0
