sensor;moisture;r1;r2;c1;frequency;duty_cycle;measurement_wet;stabilization_time_wet;success_wet;measurement_dry;stabilization_time_dry;success_dry;difference;stabilization_time_avg
NPPN;0;10;100000000;2e-12;3200;13;2052;500;0;2170;500;0;118;500,0
NPPN;0;10;100000000;2e-12;3200;21;2136;500;0;2244;500;0;108;500,0
NPPN;0;10;100000000;2e-12;3200;34;2227;500;0;2316;500;0;89;500,0
NPPN;0;10;100000000;2e-12;3200;55;2327;500;0;2401;500;0;74;500,0
NPPN;0;10;100000000;2e-12;3200;89;2561;500;0;2520;500;0;-41;500,0
NPPN;0;10;100000000;2e-12;3200;128;2644;500;0;2777;500;0;133;500,0
NPPN;0;10;100000000;2e-12;3200;255;3307;500;0;3345;500;0;38;500,0
NPPN;0;10;100000000;2e-12;6400;1;1285;500;0;1509;500;0;224;500,0
NPPN;0;10;100000000;2e-12;6400;2;1603;500;0;1763;500;0;160;500,0
NPPN;0;10;100000000;2e-12;6400;3;1679;406;1;1810;500;0;131;453,0
NPPN;0;10;100000000;2e-12;6400;5;1862;500;0;1998;500;0;136;500,0
NPPN;0;10;100000000;2e-12;6400;8;1974;500;0;2104;500;0;130;500,0
NPPN;0;10;100000000;2e-12;6400;13;2098;500;0;2207;500;0;109;500,0
NPPN;0;10;100000000;2e-12;6400;21;2190;500;0;2279;500;0;89;500,0
NPPN;0;10;100000000;2e-12;6400;34;2273;500;0;2351;500;0;78;500,0
NPPN;0;10;100000000;2e-12;6400;55;2362;500;0;2416;500;0;54;500,0
NPPN;0;10;100000000;2e-12;6400;89;2592;500;0;2598;500;0;6;500,0
NPPN;0;10;100000000;2e-12;6400;128;2732;500;0;2775;500;0;43;500,0
NPPN;0;10;100000000;2e-12;6400;255;3302;500;0;3333;500;0;31;500,0
NPPN;0;10;100000000;2e-12;12800;1;2119;500;0;2209;500;0;90;500,0
NPPN;0;10;100000000;2e-12;12800;2;2075;500;0;2184;500;0;109;500,0
NPPN;0;10;100000000;2e-12;12800;3;2079;500;0;2189;500;0;110;500,0
NPPN;0;10;100000000;2e-12;12800;5;2224;180;1;2303;500;0;79;340,0
NPPN;0;10;100000000;2e-12;12800;8;2291;496;1;2353;500;0;62;498,0
NPPN;0;10;100000000;2e-12;12800;13;2370;500;0;2442;500;0;72;500,0
NPPN;0;10;100000000;2e-12;12800;21;2558;500;0;2597;500;0;39;500,0
NPPN;0;10;100000000;2e-12;12800;34;2808;500;0;2872;500;0;64;500,0
NPPN;0;10;100000000;2e-12;12800;55;3207;500;0;3221;500;0;14;500,0
NPPN;0;10;100000000;2e-12;12800;89;3759;500;0;3732;500;0;-27;500,0
NPPN;0;10;100000000;2e-12;12800;128;4081;134;1;4077;134;1;-4;134,0
NPPN;0;10;100000000;2e-12;12800;255;4095;44;1;4095;45;1;0;44,5
NPPN;0;10;100000000;2e-12;25600;1;2108;500;0;2204;500;0;96;500,0
NPPN;0;10;100000000;2e-12;25600;2;2092;360;1;2182;500;0;90;430,0
NPPN;0;10;100000000;2e-12;25600;3;2087;500;0;2195;500;0;108;500,0
NPPN;0;10;100000000;2e-12;25600;5;2236;135;1;2306;500;0;70;317,5
NPPN;0;10;100000000;2e-12;25600;8;2301;135;1;2368;500;0;67;317,5
NPPN;0;10;100000000;2e-12;25600;13;2404;500;0;2391;225;1;-13;362,5
NPPN;0;10;100000000;2e-12;25600;21;2573;500;0;2569;500;0;-4;500,0
NPPN;0;10;100000000;2e-12;25600;34;2763;500;0;2776;500;0;13;500,0
NPPN;0;10;100000000;2e-12;25600;55;3196;500;0;3117;500;0;-79;500,0
NPPN;0;10;100000000;2e-12;25600;89;3678;500;0;3713;500;0;35;500,0
NPPN;0;10;100000000;2e-12;25600;128;4061;268;1;4064;90;1;3;179,0
NPPN;0;10;100000000;2e-12;25600;255;4095;45;1;4095;45;1;0;45,0
NPPN;0;10;100000000;2e-12;51200;1;2123;500;0;2231;500;0;108;500,0
NPPN;0;10;100000000;2e-12;51200;2;2082;500;0;2176;500;0;94;500,0
NPPN;0;10;100000000;2e-12;51200;3;2098;500;0;2182;500;0;84;500,0
NPPN;0;10;100000000;2e-12;51200;5;2244;90;1;2149;45;1;-95;67,5
NPPN;0;10;100000000;2e-12;51200;8;2302;270;1;2360;500;0;58;385,0
NPPN;0;10;100000000;2e-12;51200;13;2385;500;0;2428;500;0;43;500,0
NPPN;0;10;100000000;2e-12;51200;21;2491;500;0;2637;500;0;146;500,0
NPPN;0;10;100000000;2e-12;51200;34;2708;500;0;2822;500;0;114;500,0
