sensor_name;frequency;duty_cycle;measurement;stabilization_time;success
NPPN;100;1;263;500;0
NPPN;100;2;343;500;0
NPPN;100;3;349;500;0
NPPN;100;5;372;500;0
NPPN;100;8;395;500;0
NPPN;100;13;426;500;0
NPPN;100;21;458;500;0
NPPN;100;34;514;500;0
NPPN;100;55;590;500;0
NPPN;100;89;702;500;0
NPPN;100;128;911;500;0
NPPN;100;255;1583;500;0
NPPN;200;1;163;500;0
NPPN;200;2;527;500;0
NPPN;200;3;613;500;0
NPPN;200;5;701;500;0
NPPN;200;8;755;500;0
NPPN;200;13;793;500;0
NPPN;200;21;852;500;0
NPPN;200;34;902;500;0
NPPN;200;55;989;500;0
NPPN;200;89;1114;500;0
NPPN;200;128;1276;500;0
NPPN;200;255;1882;500;0
NPPN;400;1;108;500;0
NPPN;400;2;485;500;0
NPPN;400;3;795;500;0
NPPN;400;5;1051;500;0
NPPN;400;8;1162;500;0
NPPN;400;13;1256;500;0
NPPN;400;21;1312;500;0
NPPN;400;34;1380;500;0
NPPN;400;55;1470;500;0
NPPN;400;89;1581;500;0
NPPN;400;128;1717;500;0
NPPN;400;255;2239;500;0
NPPN;800;1;61;500;0
NPPN;800;2;335;500;0
NPPN;800;3;540;500;0
NPPN;800;5;1094;500;0
NPPN;800;8;1330;500;0
NPPN;800;13;1604;500;0
NPPN;800;21;1692;500;0
NPPN;800;34;1736;500;0
NPPN;800;55;1835;500;0
NPPN;800;89;1929;500;0
NPPN;800;128;2035;500;0
NPPN;800;255;2490;500;0
NPPN;1600;1;207;500;0
NPPN;1600;2;496;500;0
NPPN;1600;3;781;500;0
NPPN;1600;5;1441;500;0
NPPN;1600;8;1678;500;0
NPPN;1600;13;1942;500;0
NPPN;1600;21;2022;500;0
NPPN;1600;34;2074;500;0
NPPN;1600;55;2195;500;0
NPPN;1600;89;2438;500;0
NPPN;1600;128;2622;500;0
NPPN;1600;255;3298;500;0
NPPN;3200;1;156;500;0
NPPN;3200;2;299;500;0
NPPN;3200;3;563;500;0
NPPN;3200;5;1021;500;0
NPPN;3200;8;1488;500;0
NPPN;3200;13;1875;500;0
NPPN;3200;21;2091;500;0
NPPN;3200;34;2203;500;0
NPPN;3200;55;2320;500;0
NPPN;3200;89;2469;500;0
NPPN;3200;128;2917;500;0
NPPN;3200;255;3332;500;0
NPPN;6400;1;259;500;0
NPPN;6400;2;110;500;0
NPPN;6400;3;223;500;0
NPPN;6400;5;543;500;0
NPPN;6400;8;960;500;0
NPPN;6400;13;1466;500;0
NPPN;6400;21;1914;90;1
NPPN;6400;34;2185;500;0
NPPN;6400;55;2337;500;0
NPPN;6400;89;2535;500;0
NPPN;6400;128;2717;500;0
NPPN;6400;255;3282;500;0
NPPN;12800;1;306;500;0
NPPN;12800;2;456;500;0
NPPN;12800;3;792;500;0
NPPN;12800;5;1332;500;0
NPPN;12800;8;1829;500;0
NPPN;12800;13;2228;500;0
NPPN;12800;21;2524;500;0
NPPN;12800;34;2805;500;0
NPPN;12800;55;3188;500;0
NPPN;12800;89;3744;500;0
NPPN;12800;128;4072;224;1
NPPN;12800;255;4094;45;1
NPPN;25600;1;317;500;0
NPPN;25600;2;174;500;0
NPPN;25600;3;330;500;0
NPPN;25600;5;717;226;1
NPPN;25600;8;1211;500;0
NPPN;25600;13;1774;500;0
NPPN;25600;21;2257;500;0
NPPN;25600;34;2702;500;0
NPPN;25600;55;3142;500;0
NPPN;25600;89;3754;500;0
NPPN;25600;128;4069;134;1
NPPN;25600;255;4094;45;1
NPPN;51200;1;354;500;0
NPPN;51200;2;195;500;0
NPPN;51200;3;157;500;0
NPPN;51200;5;305;500;0
NPPN;51200;8;627;500;0
NPPN;51200;13;1150;500;0
NPPN;51200;21;1763;500;0
NPPN;51200;34;2344;500;0
NPPN;51200;55;3000;500;0
NPPN;51200;89;3736;500;0
NPPN;51200;128;4095;401;1
NPPN;51200;255;4095;44;1
NPPN;100000;1;237;500;0
NPPN;100000;2;286;500;0
NPPN;100000;3;520;500;0
NPPN;100000;5;1015;500;0
NPPN;100000;8;1660;500;0
NPPN;100000;13;2399;500;0
NPPN;100000;21;3271;500;0
NPPN;100000;34;192;500;0
NPPN;100000;55;3234;500;0
NPPN;100000;89;4021;500;0
NPPN;100000;128;4095;45;1
NPPN;100000;255;4095;45;1
NPPN;200000;1;56;500;0
NPPN;200000;2;281;500;0
NPPN;200000;3;315;500;0
NPPN;200000;5;648;500;0
NPPN;200000;8;1193;500;0
NPPN;200000;13;1960;500;0
NPPN;200000;21;2966;500;0
NPPN;200000;34;248;500;0
NPPN;200000;55;3047;500;0
NPPN;200000;89;4007;500;0
NPPN;200000;128;4095;45;1
NPPN;200000;255;4095;45;1
NPPN;400000;1;66;500;0
NPPN;400000;2;297;500;0
NPPN;400000;3;302;500;0
NPPN;400000;5;492;500;0
NPPN;400000;8;967;500;0
NPPN;400000;13;1700;500;0
NPPN;400000;21;2766;500;0
NPPN;400000;34;273;500;0
NPPN;400000;55;2865;500;0
NPPN;400000;89;4081;500;0
