BZ1:1
C1:1
C2:1
C3:1
C5:1
C7:1
C8:1
C9:1
D1:1
D2:1
D3:1
J1:1
R1:1
R10:1
R2:1
R3:1
R4:1
R6:1
R8:1
R9:1
U1:1
U3:1
U4:1
U5:1
U6:1
U7:1
U8:1
U9:1
USB1:1
