frequency,duty_cycle,measurement,stabilization_time
100,1,10,82
100,2,0,80
100,3,0,80
100,5,0,80
100,8,0,80
100,13,0,80
100,21,1890,1454
100,34,2253,1212
100,55,2544,1051
100,89,2765,727
100,128,2910,565
100,255,3146,404
200,1,0,80
200,2,0,80
200,3,0,80
200,5,0,80
200,8,0,80
200,13,0,80
200,21,1875,1532
200,34,2245,1290
200,55,2531,968
200,89,2764,726
200,128,2919,645
200,255,3145,403
400,1,0,80
400,2,0,80
400,3,0,80
400,5,0,80
400,8,0,80
400,13,0,80
400,21,1810,1530
400,34,2207,1289
400,55,2513,966
400,89,2764,806
400,128,2914,644
400,255,3145,403
800,1,0,80
800,2,0,80
800,3,0,80
800,5,0,80
800,8,0,80
800,13,0,80
800,21,1712,1610
800,34,2129,1288
800,55,2478,966
800,89,2749,805
800,128,2894,563
800,255,3142,403
1600,1,0,80
1600,2,0,80
1600,3,0,80
1600,5,0,80
1600,8,0,80
1600,13,1728,1449
1600,21,2207,1207
1600,34,2545,966
1600,55,2816,724
1600,89,3019,564
1600,128,3136,402
1600,255,3311,322
3200,1,0,80
3200,2,0,80
3200,3,0,80
3200,5,0,80
3200,8,0,80
3200,13,1456,1368
3200,21,2000,1287
3200,34,2447,1046
3200,55,2762,724
3200,89,2994,563
3200,128,3122,402
3200,255,3309,403
6400,1,0,80
6400,2,0,80
6400,3,0,80
6400,5,0,80
6400,8,0,80
6400,13,1199,1530
6400,21,1743,1368
6400,34,2256,1126
6400,55,2662,885
6400,89,2945,644
6400,128,3104,483
6400,255,3300,322
12800,1,0,80
12800,2,0,80
12800,3,0,80
12800,5,1359,1287
12800,8,1904,1126
12800,13,2419,965
12800,21,2798,724
12800,34,3064,483
12800,55,3241,322
12800,89,3355,242
12800,128,4096,242
12800,255,4096,242
25600,1,0,80
25600,2,0,80
25600,3,0,80
25600,5,1072,1369
25600,8,1601,1288
25600,13,2160,1127
25600,21,2622,885
25600,34,2956,563
25600,55,3198,403
25600,89,3343,322
25600,128,4096,322
25600,255,4096,322
51200,1,0,80
51200,2,0,80
51200,3,0,80
51200,5,767,1208
51200,8,1232,1207
51200,13,1836,1288
51200,21,2351,966
51200,34,2769,643
51200,55,3099,483
51200,89,3304,322
51200,128,4096,322
51200,255,3413,242
100000,1,432,644
100000,2,880,1127
100000,3,1331,1208
100000,5,1951,1127
100000,8,2463,885
100000,13,2886,644
100000,21,3192,403
100000,34,878,1047
100000,55,3240,484
100000,89,4096,484
100000,128,4096,484
100000,255,4096,484
200000,1,415,564
200000,2,573,725
200000,3,878,966
200000,5,1485,1127
200000,8,2076,966
200000,13,2599,724
200000,21,3013,483
200000,34,559,564
200000,55,3084,483
200000,89,3436,242
200000,128,4096,242
200000,255,4096,242
400000,1,495,483
400000,2,478,484
400000,3,575,564
400000,5,974,886
400000,8,1567,967
400000,13,2175,805
400000,21,2702,483
400000,34,481,484
400000,55,2809,483
400000,89,3438,1212
400000,128,3436,242
400000,255,4096,242
800000,1,461,403
800000,2,541,322
800000,3,527,322
800000,5,618,484
800000,8,1036,806
800000,13,1676,725
800000,21,2352,483
800000,34,544,322
800000,55,2479,403
800000,89,4096,403
800000,128,3439,1616
800000,255,3436,242
1600000,1,599,323
1600000,2,651,323
1600000,3,1167,484
1600000,5,1963,403
1600000,8,4096,403
1600000,13,1967,403
1600000,21,3438,1616
1600000,34,4096,1616
1600000,55,4096,1616
1600000,89,3439,1050
1600000,128,4096,1050
1600000,255,4096,1050
3200000,1,4096,1050
3200000,2,4096,1050
3200000,3,912,1131
3200000,5,4096,1131
3200000,8,4096,1131
3200000,13,4096,1131
3200000,21,3434,242
3200000,34,4096,242
3200000,55,3435,242
3200000,89,4096,242
3200000,128,4096,242
3200000,255,3437,242
6400000,1,4096,242
6400000,2,4096,242
6400000,3,4096,242
6400000,5,4096,242
6400000,8,4096,242
6400000,13,4096,242
6400000,21,3437,404
6400000,34,4096,404
6400000,55,4096,404
6400000,89,3437,242
6400000,128,3437,242
6400000,255,4096,242
